"time","hemisphere","extent","area"
1979-01-01,"south",5.4e+12,3.47e+12
1980-01-01,"south",4.56e+12,3.08e+12
1981-01-01,"south",4.41e+12,2.84e+12
1982-01-01,"south",5.26e+12,3.25e+12
1983-01-01,"south",4.77e+12,3.21e+12
1984-01-01,"south",4.78e+12,2.93e+12
1985-01-01,"south",4.46e+12,2.87e+12
1986-01-01,"south",5.42e+12,3.43e+12
1987-01-01,"south",5.13e+12,3.31e+12
1988-01-01,"south",-9.999e+15,-9.999e+15
1989-01-01,"south",4.74e+12,3.17e+12
1990-01-01,"south",4.87e+12,3.39e+12
1991-01-01,"south",5.34e+12,3.52e+12
1992-01-01,"south",4.75e+12,3.24e+12
1993-01-01,"south",4.41e+12,2.55e+12
1994-01-01,"south",4.97e+12,3.37e+12
1995-01-01,"south",5.64e+12,3.73e+12
1996-01-01,"south",5.87e+12,3.55e+12
1997-01-01,"south",4.2e+12,2.77e+12
1998-01-01,"south",4.46e+12,3.04e+12
1999-01-01,"south",4.82e+12,3.11e+12
2000-01-01,"south",4.75e+12,2.92e+12
2001-01-01,"south",5.23e+12,3.64e+12
2002-01-01,"south",4.74e+12,2.95e+12
2003-01-01,"south",5.77e+12,4.11e+12
2004-01-01,"south",5.59e+12,3.8e+12
2005-01-01,"south",4.75e+12,3.18e+12
2006-01-01,"south",4.16e+12,2.81e+12
2007-01-01,"south",4.67e+12,3e+12
2008-01-01,"south",6.41e+12,4.07e+12
2009-01-01,"south",5.71e+12,3.5e+12
2010-01-01,"south",4.96e+12,3.33e+12
2011-01-01,"south",4.51e+12,3.05e+12
2012-01-01,"south",5.65e+12,3.71e+12
2013-01-01,"south",5.54e+12,3.94e+12
2014-01-01,"south",6.33e+12,4.38e+12
2015-01-01,"south",6.85e+12,4.34e+12
2016-01-01,"south",4.69e+12,3.03e+12
2017-01-01,"south",3.78e+12,2.56e+12
2018-01-01,"south",4.21e+12,2.69e+12
2019-01-01,"south",3.87e+12,2.66e+12
2020-01-01,"south",4.6e+12,3.09e+12
2021-01-01,"south",4.78e+12,2.94e+12
2022-01-01,"south",3.94e+12,2.44e+12
2023-01-01,"south",3.3e+12,2e+12
2024-01-01,"south",4.05e+12,2.63e+12
2025-01-01,"south",4.69e+12,2.84e+12
2026-01-01,"south",4.49e+12,3.01e+12
1979-02-01,"south",3.14e+12,2.11e+12
1980-02-01,"south",2.82e+12,1.85e+12
1981-02-01,"south",2.87e+12,1.74e+12
1982-02-01,"south",3.13e+12,1.86e+12
1983-02-01,"south",3.07e+12,1.91e+12
1984-02-01,"south",2.68e+12,1.75e+12
1985-02-01,"south",2.84e+12,1.83e+12
1986-02-01,"south",3.19e+12,2e+12
1987-02-01,"south",3.25e+12,2e+12
1988-02-01,"south",2.89e+12,1.9e+12
1989-02-01,"south",2.98e+12,2.03e+12
1990-02-01,"south",3.04e+12,2.21e+12
1991-02-01,"south",3.16e+12,2.09e+12
1992-02-01,"south",2.84e+12,1.86e+12
1993-02-01,"south",2.48e+12,1.37e+12
1994-02-01,"south",3.2e+12,2.22e+12
1995-02-01,"south",3.56e+12,2.19e+12
1996-02-01,"south",2.98e+12,1.77e+12
1997-02-01,"south",2.49e+12,1.72e+12
1998-02-01,"south",2.99e+12,1.87e+12
1999-02-01,"south",2.97e+12,1.77e+12
2000-02-01,"south",2.91e+12,1.72e+12
2001-02-01,"south",3.65e+12,2.44e+12
2002-02-01,"south",2.96e+12,1.82e+12
2003-02-01,"south",3.79e+12,2.66e+12
2004-02-01,"south",3.58e+12,2.36e+12
2005-02-01,"south",2.97e+12,1.97e+12
2006-02-01,"south",2.65e+12,1.76e+12
2007-02-01,"south",2.9e+12,1.94e+12
2008-02-01,"south",3.89e+12,2.4e+12
2009-02-01,"south",2.99e+12,1.97e+12
2010-02-01,"south",3.11e+12,2.11e+12
2011-02-01,"south",2.52e+12,1.86e+12
2012-02-01,"south",3.55e+12,2.19e+12
2013-02-01,"south",3.84e+12,2.58e+12
2014-02-01,"south",3.84e+12,2.65e+12
2015-02-01,"south",3.8e+12,2.54e+12
2016-02-01,"south",2.79e+12,1.86e+12
2017-02-01,"south",2.29e+12,1.64e+12
2018-02-01,"south",2.33e+12,1.63e+12
2019-02-01,"south",2.65e+12,1.81e+12
2020-02-01,"south",2.92e+12,1.83e+12
2021-02-01,"south",2.89e+12,1.72e+12
2022-02-01,"south",2.21e+12,1.38e+12
